eval_accuracy,eval_f1,eval_precision,eval_recall
0.5450138504155124,0.5021525868289787,0.5298762678924395,0.5450138504155124
0.5990304709141274,0.5877884331596337,0.5904986865946904,0.5990304709141274
0.6028393351800554,0.597515791721322,0.5994578743342003,0.6028393351800554
0.5765235457063712,0.5679914636510827,0.5865396552839538,0.5765235457063712
0.6052631578947368,0.5928091440617069,0.6021979058180342,0.6052631578947368
0.6042243767313019,0.5848375439796712,0.597416265839214,0.6042243767313019
0.6149584487534626,0.5987799911547499,0.6111265278190182,0.6149584487534626
0.6087257617728532,0.5984951388500155,0.6046939220183172,0.6087257617728532
0.6118421052631579,0.6005264659232111,0.6063026697568931,0.6118421052631579
0.6128808864265928,0.6023037280267381,0.6083019764912683,0.6128808864265928
